"","sub","grp","lipl_to_lput","lput_to_lipl","lput_to_smfc","smfc_to_lipl"
"1","101","train",-0.5395,0.7421,1.7909,0.3437
"2","103","train",1.0615,-0.809,-2.8699,0.3611
"3","104","train",0.62,-1.8241,0.9653,0.7643
"4","105","train",-0.4472,0.21,-1.7834,-0.0488
"5","106","train",0.0697,0.0361,-0.0592,0.2754
"6","107","train",0.07,-0.2931,0.0015,0.0018
"7","108","train",0.1194,-1.5179,0.0383,-0.0131
"8","109","train",3.9101,-0.8166,-0.4691,-0.4033
"9","110","train",0.7987,1.127,1.3157,0.236
"10","111","train",-1.6408,1.294,0.6431,0.0955
"11","112","train",-0.5421,0.061,-0.1023,-0.2109
"12","113","train",-0.0633,0.0078,0.3459,0.0639
"13","114","train",1.2845,-1.3196,0.2447,-0.9002
"14","115","train",-0.2456,-0.3805,0,0.1628
"15","116","train",-0.7813,-0.8823,-2.5795,0.1829
"16","117","train",0.9042,0.7397,1.1481,0.3144
"17","118","train",1.3764,0.4805,-0.4446,0.5095
"18","119","train",0.1887,-0.3862,0.0882,0.0062
"19","120","train",0.6561,1.4771,0.356,0.0733
"20","121","train",0.8008,0.1023,-0.0449,-0.1561
"21","122","train",-0.044,1.2776,2.2506,0.1383
"22","123","train",-0.0022,-0.0047,0.0035,0.0041
"23","124","train",0.0501,1.0524,0.1294,0.0169
"24","125","train",0.8364,-0.7678,0.3645,0.1724
"25","126","train",-0.0404,0.2718,0.7212,0.2748
"26","127","train",-1.2671,0.4531,0.76,0.0595
"27","129","train",1.5129,0.036,-0.196,0
"28","130","train",2.5687,-0.8897,0.4207,0.1088
"29","131","train",-0.0055,0.2288,-0.0236,0.004
"30","132","train",-0.526,0.052,0.0416,-0.2011
"31","133","train",0.0012,-0.0233,-0.264,-0.001
"32","134","train",-0.3364,-0.0888,-0.122,0.2323
"33","135","train",-0.0137,-0.0031,-0.0159,0.0013
"34","136","train",-0.763,-0.0867,-0.0226,0.0369
"35","137","train",0.0044,0.0037,-0.0074,0.0081
"36","139","train",1.3065,-2.1957,0.9902,-0.6107
"37","140","train",-0.0921,0.0026,0.0218,1.0152
"38","141","train",-0.0048,0,0.6709,0.2918
"39","142","train",-0.0098,-0.0073,-0.0487,-0.0025
"40","143","train",4e-04,0.01,0.0161,0.0036
"41","145","train",-0.0422,0.0795,0.0778,-0.3647
"42","146","train",-0.335,0.1472,-0.0464,-0.0372
"43","147","train",0.6386,-0.9061,0.3431,0.9042
"44","148","train",1.1627,-1.4762,0.7806,-0.2448
"45","149","train",-1.0643,1.3518,1.2833,0.2281
"46","150","train",0.0745,0.1379,-1.0846,-0.0345
"47","201","control",-0.083,1.3531,0.6349,0.1608
"48","202","control",-0.0011,0.0164,0.0107,0.0034
"49","204","control",0.003,0.867,1.8352,0.3199
"50","205","control",1.431,-1.0602,0.0576,-0.5847
"51","206","control",0.3687,2.5439,0.6417,0.2478
"52","207","control",8e-04,0.0101,0.0138,0.0198
"53","208","control",0.0127,-0.0285,2.1162,-0.0573
"54","209","control",-0.3796,1.9569,-0.8274,-0.3124
"55","210","control",-0.0044,0.0094,0.0032,0.0067
"56","211","control",-0.0971,0.0369,0.009,-0.004
"57","212","control",-1.113,-2.0254,2.1245,-0.8203
"58","213","control",0.7917,-0.0482,-0.0626,0.7284
"59","214","control",-0.4554,1.3126,2.6477,0.8206
"60","215","control",-1.1728,4.4432,0.7471,-1.864
"61","216","control",-0.5216,1.1798,1.6062,0.3495
"62","217","control",0.0115,-0.0024,0.0031,0.0134
"63","218","control",-2.9274,0.6451,0.6966,-0.4101
"64","219","control",-0.2779,-1.2213,1.6561,-0.305
"65","220","control",-0.0649,0.2484,-0.8438,-0.0792
"66","221","control",0.9617,0.7362,1.1197,0.0254
"67","222","control",-0.3616,-1.3403,0.0306,-0.0098
"68","223","control",-0.0323,0.0421,0,0.3796
"69","224","control",-2.3982,0.5124,0.7676,-0.5103
"70","225","control",-0.1185,0.1485,1.0019,0.0334
"71","226","control",0.1443,-0.0414,1.3453,0.0011
"72","227","control",0.3687,0,0,0
"73","228","control",0.0997,0.0741,0.0785,0.3677
"74","229","control",0.0023,6e-04,-1e-04,-0.0017
"75","230","control",-0.0977,-1.1012,-0.8663,0.154
"76","231","control",-0.4676,0.4994,2.4634,0.2681
"77","232","control",-0.0138,0.0088,-0.0033,-0.0064
"78","233","control",0.09,0.995,1.336,0.2141
"79","234","control",-0.0274,0,0.0261,0.5977
"80","235","control",1.5152,-0.8436,-1.0885,0.9016
"81","236","control",1.5656,-1.6143,-1.6363,0.6388
"82","237","control",-1.149,0.3438,-2.2819,-0.7286
"83","238","control",-0.0072,-0.0132,-0.0054,7e-04
"84","239","control",0.4117,-0.1067,-0.1757,0.0198
"85","240","control",-2.4277,0.6961,1.2754,-0.6345
"86","241","control",0.9804,-1.3357,1.5829,-0.254
"87","242","control",-0.0098,-0.0109,0.0184,-0.0186
"88","243","control",-0.0056,1e-04,0.0112,0.145
"89","244","control",-0.3153,1.4948,0.7482,-0.4428
"90","245","control",2.7229,-1.1294,2.3774,-0.0022
"91","246","control",-1.7389,1.8027,1.65,0.0964
"92","247","control",-0.092,0.6544,0.0911,0.0281
"93","248","control",-0.0092,-0.2048,0.0868,0.0922
"94","249","control",-0.0035,0.0021,-0.0193,0.0056
"95","250","control",0.8883,0.4568,0.8613,0.0342
